name,url,description,stars,forks,language,created_at,updated_at
peass-ng/PEASS-ng,https://github.com/peass-ng/PEASS-ng,PEASS - Privilege Escalation Awesome Scripts SUITE (with colors),18642,3307,C#,2019-01-13T19:58:24Z,2025-11-04T04:47:39Z
AveYo/MediaCreationTool.bat,https://github.com/AveYo/MediaCreationTool.bat,Universal MCT wrapper script for all Windows 10/11 versions from 1507 to 21H2!,9943,3122,Batchfile,2021-10-09T21:01:45Z,2025-11-03T21:18:09Z
ShadowWhisperer/Remove-MS-Edge,https://github.com/ShadowWhisperer/Remove-MS-Edge,Uninstall Microsoft Edge with an executable or batch script.,4491,170,Batchfile,2020-12-09T14:57:18Z,2025-11-03T20:52:42Z
batsh-dev-team/Batsh,https://github.com/batsh-dev-team/Batsh,A language that compiles to Bash and Windows Batch,4333,170,OCaml,2013-09-02T10:45:45Z,2025-10-29T01:57:07Z
ayoisaiah/f2,https://github.com/ayoisaiah/f2,F2 is a cross-platform command-line tool for batch renaming files and directories quickly and safely. Written in Go!,2303,60,Go,2020-04-28T00:20:46Z,2025-11-01T22:10:54Z
YILS-LIN/short-video-factory,https://github.com/YILS-LIN/short-video-factory,"一键生成产品营销与泛内容短视频，AI批量自动剪辑，高颜值跨平台桌面端工具 One click generation of product marketing and general content short videos, AI batch automatic cliping, beautiful cross platform desktop tool",2251,309,TypeScript,2025-07-09T05:55:44Z,2025-11-04T07:58:04Z
tsgrgo/windows-update-disabler,https://github.com/tsgrgo/windows-update-disabler,Disable/Enable Windows update with a lightweight batch tool.,1816,189,Batchfile,2022-01-24T14:53:05Z,2025-11-04T00:46:33Z
m-ab-s/media-autobuild_suite,https://github.com/m-ab-s/media-autobuild_suite,This Windows Batchscript helps setup a Mingw-w64 compiler environment for building ffmpeg and other media tools under Windows.,1705,280,Shell,2013-09-28T20:07:11Z,2025-11-04T02:53:51Z
abbodi1406/BatUtil,https://github.com/abbodi1406/BatUtil,Collection of batch scripts utilities for Windows,1275,270,VBScript,2018-11-15T05:41:47Z,2025-11-03T09:50:43Z
npocmaka/batch.scripts,https://github.com/npocmaka/batch.scripts,batch script utils and examples by npocmaka -,1119,885,Batchfile,2014-04-18T17:53:07Z,2025-10-26T07:35:57Z
ios12checker/Windows-Maintenance-Tool,https://github.com/ios12checker/Windows-Maintenance-Tool,"A powerful, all-in-one Windows maintenance toolkit built entirely in Batch & PowerShell. Designed for power users, sysadmins, and curious tinkerers – now smarter, safer, and fully offline-compatible.",954,58,PowerShell,2025-06-09T01:23:09Z,2025-11-03T17:06:57Z
boxcutter/windows,https://github.com/boxcutter/windows,Virtual machine templates for Windows written in legacy JSON and Batch Scripting/JScript,761,265,Ruby,2015-02-13T03:29:15Z,2025-11-03T21:55:44Z
illsk1lls/ZipRipper,https://github.com/illsk1lls/ZipRipper,"A CMD script to crack password protected ZIP, RAR, 7z and PDF files, using JohnTheRipper.",595,92,Batchfile,2023-12-27T05:29:37Z,2025-11-03T06:57:46Z
slorelee/wimbuilder2,https://github.com/slorelee/wimbuilder2,wimbuilder with new UI & new syntax (hta+bat+vbs+js),539,114,Batchfile,2018-06-24T06:33:48Z,2025-11-02T17:29:45Z
diogo-fernan/ir-rescue,https://github.com/diogo-fernan/ir-rescue,A Windows Batch script and a Unix Bash script to comprehensively collect host forensic data during incident response.,487,96,Batchfile,2016-08-02T21:01:45Z,2025-10-24T02:16:48Z
davidmarble/virtualenvwrapper-win,https://github.com/davidmarble/virtualenvwrapper-win,Port of Doug Hellmann's virtualenvwrapper to Windows batch scripts,459,105,Batchfile,2011-01-10T20:08:13Z,2025-10-06T09:13:07Z
TheBATeam/Batch-WI-FI-Brute-Forcer,https://github.com/TheBATeam/Batch-WI-FI-Brute-Forcer,"This project is based upon the trick that, how to hack WI-FI with CMD. The main purpose behind, creating wifi hacking tool with cmd tool is to make everyone aware that how easy it is to break a simple password. And, motivate them to keep some complex passwords – to keep them protected against it.",349,186,Batchfile,2020-05-16T09:15:23Z,2025-11-02T15:09:39Z
vogeljo/reset-vassistx,https://github.com/vogeljo/reset-vassistx,A small batch script for resetting Visual Assist X's trial period.,332,101,Batchfile,2016-11-15T20:08:47Z,2025-10-31T15:38:19Z
warengonzaga/wifi-passview,https://github.com/warengonzaga/wifi-passview,An open source batch script based WiFi Passview for Windows!,321,73,Batchfile,2018-02-05T21:00:56Z,2025-11-01T10:36:08Z
Kreijstal/BatchProjects,https://github.com/Kreijstal/BatchProjects,All projects batch,280,2,Batchfile,2014-06-22T09:04:18Z,2025-10-19T20:34:00Z
islamadel/bat2exe,https://github.com/islamadel/bat2exe,Automatically exported from code.google.com/p/bat2exe,278,28,Batchfile,2015-08-17T08:40:34Z,2025-10-26T21:27:28Z
ph33nx/WinMasterBlocker,https://github.com/ph33nx/WinMasterBlocker,Simple batch script that automates blocking apps from accessing internet using windows inbuilt firewall,266,31,Batchfile,2024-10-24T23:08:26Z,2025-10-31T18:07:40Z
FoxP/PNG-to-ICO,https://github.com/FoxP/PNG-to-ICO,"KISS batch script to easily convert PNG, GIF, BMP, SVG or JPG images to multi-resolution ICO files using ImageMagick.",244,25,Batchfile,2018-03-10T20:18:32Z,2025-11-02T05:25:32Z
ancel1x/Ancels-Performance-Batch,https://github.com/ancel1x/Ancels-Performance-Batch,Open Source Tweaker made to improve system performance and lower system latency.,240,22,Batchfile,2023-02-05T18:19:47Z,2025-10-23T07:44:47Z
GDX-X/PFS-BatchKit-Manager,https://github.com/GDX-X/PFS-BatchKit-Manager,Manage your PlayStation 2/PSX DESR HDD,225,14,Batchfile,2021-10-24T00:36:27Z,2025-11-02T12:36:34Z
ManuelGil/Script-Reset-Windows-Update-Tool,https://github.com/ManuelGil/Script-Reset-Windows-Update-Tool,This script reset the Windows Update Components.,198,51,Batchfile,2017-04-11T03:59:07Z,2025-10-21T10:21:31Z
prestonsn/windows-10-activation-script,https://github.com/prestonsn/windows-10-activation-script,A Windows batch file that tries Windows activation keys found around the internet.,185,81,Batchfile,2019-08-02T20:18:08Z,2025-10-16T08:35:06Z
auspbro/batch-snippets,https://github.com/auspbro/batch-snippets,常用批处理,179,67,Batchfile,2015-10-28T05:41:07Z,2025-09-23T02:58:41Z
