name,url,description,stars,forks,language,created_at,updated_at
Kreijstal/BatchProjects,https://github.com/Kreijstal/BatchProjects,All projects batch,281,2,Batchfile,2014-06-22T09:04:18Z,2026-07-17T03:43:39Z
GDX-X/PFS-BatchKit-Manager,https://github.com/GDX-X/PFS-BatchKit-Manager,Manage your PlayStation 2/PSX DESR HDD,261,19,Batchfile,2021-10-24T00:36:27Z,2026-08-07T15:55:20Z
matej137/OutlookRemover,https://github.com/matej137/OutlookRemover,a little batch file that permanently removes the Outlook (New) app from Windows 10/11,259,21,Batchfile,2024-04-17T14:40:06Z,2026-08-16T01:36:14Z
patrickfav/density-converter,https://github.com/patrickfav/density-converter,"A multi platform image density converting tool converting single or batches of images to Android, iOS, Windows or CSS specific formats and density versions given the source scale factor or width/height in dp. It has a graphical and command line interface and supports many image types (svg, psd, 9-patch, etc.) aswell as some lossless compressors like pngcrush.",254,31,Java,2016-02-25T23:31:35Z,2026-07-31T09:22:07Z
ancel1x/Ancels-Performance-Batch,https://github.com/ancel1x/Ancels-Performance-Batch,Open Source Tweaker made to improve system performance and lower system latency.,248,23,Batchfile,2023-02-05T18:19:47Z,2026-08-15T01:17:08Z
daniel-sc/bash-shell-to-bat-converter,https://github.com/daniel-sc/bash-shell-to-bat-converter,Converter for bash shell scripts to windows batch files.,245,46,TypeScript,2019-10-15T19:21:37Z,2026-07-08T04:23:43Z
Ivan-Ayub97/Warlock-Studio,https://github.com/Ivan-Ayub97/Warlock-Studio,"Suite for Windows with Real-ESRGAN, RealESRNet, RealESRAnime, BSRGAN , IRCNN, GFPGAN & RIFE. Upscaling, face restoration, frame interpolation, denoising, batch processing & GPU acceleration in one tool.",238,20,Python,2025-05-17T06:59:10Z,2026-08-13T23:45:31Z
Espionage724/Windows,https://github.com/Espionage724/Windows,Various batch files for Windows,232,58,Batchfile,2017-05-01T09:00:20Z,2026-08-10T16:24:51Z
shoober420/windows11-scripts,https://github.com/shoober420/windows11-scripts,Windows 11 Scripts,225,33,Batchfile,2023-07-28T21:26:41Z,2026-08-13T13:48:51Z
stbrenner/SilentCMD,https://github.com/stbrenner/SilentCMD,SilentCMD executes a batch file without opening the command prompt window.,225,23,C#,2016-04-04T21:38:48Z,2026-07-28T19:39:21Z
yornaath/batshit,https://github.com/yornaath/batshit,A batch manager that will deduplicate and batch requests for a certain data type made within a window. Useful to batch requests made from multiple react components that uses react-query,222,6,TypeScript,2022-12-22T12:29:10Z,2026-08-13T07:12:20Z
vegardit/cygwin-portable-installer,https://github.com/vegardit/cygwin-portable-installer,Windows batch file to perform unattended installations of a portable Cygwin environment.,211,42,Batchfile,2017-06-17T11:42:38Z,2026-08-01T16:52:46Z
blackrosezy/build-libcurl-windows,https://github.com/blackrosezy/build-libcurl-windows,Batch script to download and build libcurl (using Visual Studio compiler),208,75,HTML,2013-05-26T12:54:58Z,2026-06-21T12:42:01Z
ManuelGil/Script-Reset-Windows-Update-Tool,https://github.com/ManuelGil/Script-Reset-Windows-Update-Tool,This script reset the Windows Update Components.,202,48,Batchfile,2017-04-11T03:59:07Z,2026-07-17T05:06:27Z
freshe/poddl,https://github.com/freshe/poddl,Podcast Downloader - Download all podcasts / episodes from an RSS-feed,201,19,C++,2019-04-16T11:08:08Z,2026-08-12T18:33:31Z
dehoisted/Bat2Exe,https://github.com/dehoisted/Bat2Exe,Windows user interface for converting your batch files into executables.,196,31,C#,2021-07-15T17:06:15Z,2026-08-15T00:59:35Z
prestonsn/windows-10-activation-script,https://github.com/prestonsn/windows-10-activation-script,A Windows batch file that tries Windows activation keys found around the internet.,192,78,Batchfile,2019-08-02T20:18:08Z,2026-06-30T12:11:26Z
bequiet11/autodesk-complete-uninstaller,https://github.com/bequiet11/autodesk-complete-uninstaller,"Single-file Windows .bat that fully uninstalls and deep-cleans every Autodesk product (2015-2027+), including Desktop Connector. 17-point zero-remnant verification, opt-in user-data handling, no reboot required.",181,17,Batchfile,2026-03-22T13:28:12Z,2026-08-17T02:09:00Z
auspbro/batch-snippets,https://github.com/auspbro/batch-snippets,常用批处理,178,66,Batchfile,2015-10-28T05:41:07Z,2026-02-09T15:07:04Z
wieslawsoltes/BatchEncoder,https://github.com/wieslawsoltes/BatchEncoder,BatchEncoder is an audio files conversion software.,177,17,C++,2017-01-07T06:25:25Z,2026-07-09T09:18:41Z
yanncam/exe2powershell,https://github.com/yanncam/exe2powershell,exe2powershell - exe2bat reborn for modern Windows,175,43,C++,2016-03-02T11:23:32Z,2026-07-29T10:32:58Z
DosX-dev/BatchToApp,https://github.com/DosX-dev/BatchToApp,Convert your .bat/.cmd scripts to .exe and protect (obfuscate) them with BatchToApp!,168,9,Visual Basic .NET,2024-06-17T20:41:59Z,2026-08-07T22:36:36Z
Andrew-J-Larson/OS-Scripts,https://github.com/Andrew-J-Larson/OS-Scripts,This is where I'll put my custom scripts/functions that might be useful in future projects of mine.,168,36,PowerShell,2019-09-01T18:45:46Z,2026-07-27T07:12:09Z
GChuf/RCWM,https://github.com/GChuf/RCWM,"Right Click Windows Magic is an open-source set of right-click (context) menu tools for admins, power users and other magic beings. Batch&Powershell.",167,8,PowerShell,2020-08-15T12:56:11Z,2026-08-10T09:29:01Z
SkyEmie/batch-obfuscator,https://github.com/SkyEmie/batch-obfuscator,Easy way to obfuscate windows batch files (demo),165,29,PHP,2019-05-23T22:21:42Z,2026-08-14T11:45:19Z
w3c/libwww,https://github.com/w3c/libwww,"Libwww is a highly modular, general-purpose client side Web API written in C for Unix and Windows (Win32). It's well suited for both small and large applications, like browser/editors, robots, batch tools, etc. Pluggable modules provided with libwww include complete HTTP/1.1 (with caching, pipelining, PUT, POST, Digest Authentication, deflate, etc), MySQL logging, FTP, HTML/4, XML (expat), RDF (SiRPAC), WebDAV, and much more. The purpose of libwww is to serve as a testbed for protocol experiments.  This is a complete mirror of the libwww CVS repository",163,36,C,2013-02-01T18:27:43Z,2026-05-01T09:45:50Z
ricardorodrigues-ca/zoom-recording-downloader,https://github.com/ricardorodrigues-ca/zoom-recording-downloader,Downloads and organizes all cloud recordings from your Zoom Business account,161,84,Python,2020-04-26T04:57:53Z,2026-08-14T20:36:28Z
JaredCabot/OneDrive-Uninstaller,https://github.com/JaredCabot/OneDrive-Uninstaller,Batch script to completely uninstall OneDrive in Windows 10 and 11,160,39,Batchfile,2016-07-22T15:31:39Z,2026-08-13T03:56:09Z
C0nw0nk/SteamCMD-AutoUpdate-Any-Gameserver,https://github.com/C0nw0nk/SteamCMD-AutoUpdate-Any-Gameserver,Windows SteamCMD to autoupdate and install any game server steam cmd settings configurable lots of useful features. This batch script will keep your game servers automaticly updated updating intervals announce the server is shutting down for updates etc all configurable.,157,30,Batchfile,2015-05-01T23:34:22Z,2026-07-22T18:33:16Z
fengyunkkx/FolderIconTool,https://github.com/fengyunkkx/FolderIconTool,One tool for Windows folder icon batch modify. | 一个批量修改 Windows 文件夹图标的小工具。,155,17,Python,2017-10-30T12:37:23Z,2026-07-28T10:50:49Z
AxtMueller/Windows-Batch-Deployment,https://github.com/AxtMueller/Windows-Batch-Deployment,A programmable and rootkit-like Windows remote access tool.,151,51,,2020-03-18T17:21:28Z,2026-07-25T01:29:24Z
